Frame,Drop Height,Change,Distance
972,81,-629,0
973,710,629,0
974,720,10,0
975,724,4,0
976,724,0,0
977,724,0,0
978,724,0,0
979,183,-541,0
980,183,0,0
981,183,0,0
982,183,0,0
983,183,0,0
984,183,0,0
985,183,0,0
986,183,0,0
987,182,-1,0
988,182,0,0
989,182,0,0
990,182,0,0
991,182,0,0
992,755,573,0
993,755,0,0
994,724,-31,0
995,182,-542,0
996,182,0,0
997,182,0,0
998,81,-101,0
999,74,-7,0
1000,81,7,0
1001,81,0,0
1002,81,0,0
1003,81,0,0
1004,81,0,0
1005,670,589,0
1006,670,0,0
1007,673,3,0
1008,673,0,0
1009,670,-3,0
1010,752,82,0
1011,752,0,0
1012,752,0,0
1013,752,0,0
1014,81,-671,0
1015,81,0,0
1016,81,0,0
1017,81,0,0
1018,81,0,0
1019,81,0,0
1020,81,0,0
1021,81,0,0
1022,81,0,0
1023,81,0,0
1024,95,14,0
1025,91,-4,0
1026,91,0,0
1027,91,0,0
1028,91,0,0
1029,95,4,0
1030,95,0,0
1031,95,0,0
1032,95,0,0
1033,95,0,0
1034,95,0,0
1035,95,0,0
1036,710,615,0
1037,710,0,0
1038,710,0,0
1039,710,0,0
1040,710,0,0
1041,710,0,0
1042,710,0,0
1043,710,0,0
1044,710,0,0
1045,81,-629,0
1046,670,589,0
1047,95,-575,0
1048,670,575,0
1049,95,-575,0
1050,670,575,0
1051,95,-575,0
1052,670,575,0
1053,670,0,0
1054,670,0,0
1055,670,0,0
1056,671,1,0
1057,670,-1,0
1058,670,0,0
1059,670,0,0
1060,670,0,0
1061,677,7,0
1062,671,-6,0
1063,95,-576,0
1064,182,87,0
1065,182,0,0
1066,182,0,0
1067,704,522,0
1068,704,0,0
1069,704,0,0
1070,670,-34,0
1071,670,0,0
1072,670,0,0
1073,670,0,0
1074,85,-585,0
1075,85,0,0
1076,182,97,0
1077,182,0,0
1078,182,0,0
1079,182,0,0
1080,182,0,0
1081,182,0,0
1082,182,0,0
1083,182,0,0
1084,182,0,0
1085,182,0,0
1086,74,-108,0
1087,74,0,0
1088,74,0,0
1089,720,646,0
1090,720,0,0
1091,95,-625,0
1092,95,0,0
1093,182,87,0
1094,182,0,0
1095,182,0,0
1096,182,0,0
1097,182,0,0
1098,182,0,0
1099,182,0,0
1100,95,-87,0
1101,95,0,0
1102,182,87,0
1103,182,0,0
1104,182,0,0
1105,182,0,0
1106,182,0,0
1107,182,0,0
1108,182,0,0
1109,182,0,0
